course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info
더플레이어스,2026-09-21,13:03,140000,golfpang,,,
오너스,2026-09-21,06:15,85000,golfpang,,,
가평베네스트,2026-09-21,12:39,179000,golfpang,,,
가평베네스트,2026-09-21,06:37,159000,golfpang,,,
가평베네스트,2026-09-21,07:19,159000,golfpang,,,
가평베네스트,2026-09-21,12:39,179000,golfpang,,,
라싸,2026-09-21,13:07,119000,golfpang,,,
클럽모우,2026-09-21,14:09,130000,golfpang,,,
세레니티-강촌,2026-09-21,14:02,140000,golfpang,,,
라싸,2026-09-21,18:00,119000,golfpang,,,
세레니티-강촌,2026-09-21,17:59,110000,golfpang,,,
스프링베일-퍼9,2026-09-21,17:15,80000,golfpang,,,
한림광릉,2026-09-21,17:09,170000,golfpang,,,
비콘힐스,2026-09-21,17:02,60000,golfpang,,,
샤인데일,2026-09-21,11:52,110000,golfpang,,,
비콘힐스,2026-09-21,11:47,100000,golfpang,,,
더플레이어스,2026-09-21,11:39,140000,golfpang,,,
남양주(퍼9),2026-09-21,12:14,109000,golfpang,,,
가평베네스트,2026-09-21,12:11,190000,golfpang,,,
스프링베일-퍼9,2026-09-21,12:05,95000,golfpang,,,
비콘힐스,2026-09-21,07:35,80000,golfpang,,,
홍천(비공개),2026-09-21,07:30,120000,golfpang,,,
남춘천,2026-09-21,13:49,130000,golfpang,,,
남양주(퍼9),2026-09-21,16:20,89000,golfpang,,,
오너스,2026-09-21,07:11,100000,golfpang,,,
라싸,2026-09-21,07:16,119000,golfpang,,,
스프링베일-퍼9,2026-09-21,07:55,80000,golfpang,,,
가평베네스트,2026-09-21,07:40,175000,golfpang,,,
엘레강스(가명),2026-09-21,08:29,160000,golfpang,,,
샤인데일,2026-09-21,08:19,90000,golfpang,,,
엘레강스(가명),2026-09-21,11:37,170000,golfpang,,,
샤인데일,2026-09-21,13:23,100000,golfpang,,,
남춘천,2026-09-21,07:00,110000,golfpang,,,
라싸,2026-09-21,06:34,109000,golfpang,,,
남양주(퍼9),2026-09-21,06:34,89000,golfpang,,,
더플레이어스,2026-09-21,06:44,110000,golfpang,,,
스마트KU,2026-09-21,06:44,150000,golfpang,,,
한림광릉,2026-09-21,06:38,120000,golfpang,,,
클럽모우,2026-09-21,06:37,110000,golfpang,,,
세레니티-강촌,2026-09-21,06:37,120000,golfpang,,,
푸른솔포천,2026-09-21,06:56,160000,golfpang,,,
홍천(비공개),2026-09-21,13:47,120000,golfpang,,,
한림광릉,2026-09-21,13:48,160000,golfpang,,,
푸른솔포천,2026-09-21,13:32,190000,golfpang,,,
푸른솔포천,2026-09-21,13:48,180000,golfpang,,,
라싸,2026-09-21,06:48,109000,golfpang,,,
더플레이어스,2026-09-21,07:40,120000,golfpang,,,
오너스,2026-09-21,14:00,110000,golfpang,,,
가평베네스트,2026-09-21,12:39,179000,golfpang,,,
가평베네스트,2026-09-21,07:19,159000,golfpang,,,
강촌(비공개),2026-09-21,12:33,170000,golfpang,,,
파주타이거,2026-09-21,06:21,130000,golfpang,,,
파주타이거,2026-09-21,12:26,160000,golfpang,,,
남춘천,2026-09-21,14:03,130000,golfpang,,,
한탄강,2026-09-21,08:10,120000,golfpang,,,
홍천(비공개),2026-09-21,13:39,120000,golfpang,,,
한림광릉,2026-09-21,14:02,160000,golfpang,,,
남춘천,2026-09-21,13:56,130000,golfpang,,,
푸른솔포천,2026-09-21,14:02,170000,golfpang,,,
스프링베일-퍼9,2026-09-21,17:15,80000,golfpang,,,
