course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info,row_id
몽베르(대중제),2026-09-18,17:56,130000,golfpang,,,18홀,tr_219584316
필로스,2026-09-18,17:54,130000,golfpang,,,18홀,tr_219688469
파주타이거,2026-09-18,16:59,170000,golfpang,,,18홀,tr_219327425
파주타이거,2026-09-18,16:59,170000,golfpang,,,18홀,tr_219327427
베스트밸리-퍼9,2026-09-18,16:59,140000,golfpang,,,18홀,tr_219711153
베스트밸리-퍼9,2026-09-18,17:34,130000,golfpang,,,18홀,tr_219711154
비콘힐스,2026-09-18,17:02,85000,golfpang,,,18홀,tr_219870557
포레스트힐,2026-09-18,17:42,130000,golfpang,,,18홀,tr_218624392
파주,2026-09-18,17:06,170000,golfpang,,,18홀,tr_218577951
파주,2026-09-18,16:52,170000,golfpang,,,18홀,tr_218577950
파주타이거,2026-09-18,17:23,170000,golfpang,,,18홀,tr_219327426
한림용인,2026-09-18,18:34,135000,golfpang,,,18홀,tr_220038560
용인플라자,2026-09-18,17:44,160000,golfpang,,,18홀,tr_219553039
아난티중앙(야간),2026-09-18,17:44,130000,golfpang,,,18홀,tr_220046045
세현,2026-09-18,17:48,180000,golfpang,,,18홀,tr_219164121
빅토리아-퍼9,2026-09-18,17:52,89000,golfpang,,,18홀,tr_219749673
세현,2026-09-18,17:55,180000,golfpang,,,18홀,tr_219164122
이천실크밸리,2026-09-18,17:56,120000,golfpang,,,18홀,tr_219913061
한림용인,2026-09-18,17:59,140000,golfpang,,,18홀,tr_220038559
아세코밸리-퍼9,2026-09-18,16:35,120000,golfpang,,,18홀,tr_219912867
유니아일랜드,2026-09-18,16:38,120000,golfpang,,,18홀,tr_219934154
윈체스트,2026-09-18,17:01,170000,golfpang,,,18홀,tr_217891741
윈체스트,2026-09-18,17:15,170000,golfpang,,,18홀,tr_217891742
용인플라자,2026-09-18,17:30,160000,golfpang,,,18홀,tr_219553038
용인플라자,2026-09-18,17:31,160000,golfpang,,,18홀,tr_219553037
세현,2026-09-18,17:34,180000,golfpang,,,18홀,tr_219164120
한림용인,2026-09-18,17:38,140000,golfpang,,,18홀,tr_220038558
아난티중앙(야간),2026-09-18,18:11,120000,golfpang,,,18홀,tr_220046046
블랙스톤벨포레,2026-09-18,17:23,55000,golfpang,,,18홀,tr_220107435
모나크,2026-09-18,17:27,110000,golfpang,,,18홀,tr_220107014
